"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.1" 1 1 1
"z.2" 1 1 1
"z.3" 1 1 1
"z.4" 2 2 2
"z.5" 2 2 2
"z.6" 1 1 1
"z.7" 2 2 2
"z.8" 1 1 1
"z.9" 2 2 2
"z.10" 1 1 1
"z.11" 2 2 2
"z.12" 2 2 2
"z.13" 1 1 1
"z.14" 2 2 2
"z.15" 1 1 1
"z.16" 2 2 2
"z.17" 2 2 2
"z.18" 1 1 1
"z.19" 2 2 2
"z.20" 2 2 2
"z.21" 2 2 2
"z.22" 2 2 2
"z.23" 2 2 2
"z.24" 1 1 1
"z.25" 2 2 2
"z.26" 1 1 1
"z.27" 2 2 2
"z.28" 2 2 2
"z.29" 2 2 2
"z.30" 1 1 1
"z.31" 2 2 2
"z.32" 2 2 2
"z.33" 2 2 2
"z.34" 1 1 1
"z.35" 2 2 2
"z.36" 1 1 1
"z.37" 1 1 1
"z.38" 1 1 1
"z.39" 2 2 2
"z.40" 2 2 2
"z.41" 1 1 1
"z.42" 2 2 2
"z.43" 2 2 2
"z.44" 2 2 2
"z.45" 1 1 1
"z.46" 2 2 2
"z.47" 1 1 1
"z.48" 2 2 2
"z.49" 2 2 2
"z.50" 2 2 2
